VP_RS00005	328	92
VP_RS00010	869	82
VP_RS00015	2344	499
VP_RS00020	3965	414
VP_RS00025	4053	1180
VP_RS00030	4053	1370
VP_RS00030	4544	1030
VP_RS00035	4544	19
VP_RS00045	6426	207
VP_RS00050	9159	22
VP_RS00055	10333	86
VP_RS00065	13819	97
VP_RS00070	14672	2
VP_RS00075	15559	78
VP_RS00080	15543	13
VP_RS00085	17018	2
VP_RS00090	19305	205
VP_RS00100	23901	20
VP_RS00105	23901	34
VP_RS00110	23867	115
VP_RS00115	24588	8
VP_RS00120	25616	10
VP_RS00125	25592	104
VP_RS00130	26809	14
VP_RS00135	27330	1
VP_RS00145	32745	1
VP_RS00145	33073	1
VP_RS00145	33455	1
VP_RS00150	33477	41
VP_RS00155	35213	30
VP_RS00160	35535	859
VP_RS00165	35535	882
VP_RS00170	35535	673
VP_RS00175	38901	1
VP_RS00180	38956	1
VP_RS00180	38993	3
VP_RS00185	38999	5
VP_RS00190	41695	37
VP_RS00195	41664	27
VP_RS00195	41730	72
VP_RS00200	42103	32
VP_RS00215	49198	5
VP_RS00215	49240	12
VP_RS00220	49208	354
VP_RS00225	50561	1559
VP_RS00230	50561	1820
VP_RS00235	50561	1827
VP_RS00240	50561	1442
VP_RS00245	50613	475
VP_RS00250	50769	60
VP_RS00260	55623	25
VP_RS00270	57760	17
VP_RS00275	58912	10
VP_RS00275	58937	15
VP_RS00280	58936	2
VP_RS00285	61444	2
VP_RS00285	61544	2
VP_RS00310	69107	2
VP_RS00310	69171	2
VP_RS00315	69941	411
VP_RS00320	69941	706
VP_RS00335	74166	1
VP_RS00335	74279	1
VP_RS00335	74516	1
VP_RS00340	74516	26
VP_RS00345	74486	18
VP_RS00350	76392	1
VP_RS00350	76652	1
VP_RS00355	76399	245
VP_RS00360	78029	201
VP_RS00365	81409	24
VP_RS00370	81379	18
VP_RS00380	86076	40
VP_RS00385	86816	6
VP_RS00390	86787	15
VP_RS00395	87646	441
VP_RS00400	89071	59
VP_RS00400	89506	82
VP_RS00405	89506	122
VP_RS00410	90802	15
VP_RS00415	90779	1
VP_RS00420	93632	1
VP_RS00425	93597	1
VP_RS00425	93632	2
VP_RS00430	93597	2
VP_RS00430	93632	2
VP_RS00445	96001	1
VP_RS00450	96479	2
VP_RS00460	98358	1
VP_RS00475	99416	1
VP_RS00480	101889	2
VP_RS00485	105191	1
VP_RS00485	105454	1
VP_RS00485	105936	1
VP_RS00485	105951	1
VP_RS00505	108713	240
